lr,dropout_rate,unfreeze_last_n,best_val_acc,best_val_loss,epochs_ran
0.001,0.2,0,4.7,3.1755,5
0.0005,0.2,0,4.7,3.1757,4
0.001,0.2,20,4.7,6.0677,5
0.0005,0.3,0,4.7,3.1756,5
0.001,0.3,0,4.7,3.1755,4
0.0005,0.2,40,4.66,15.5491,4
0.001,0.2,40,4.66,15.3127,6
0.0005,0.3,40,4.66,12.6411,4
0.0001,0.2,0,4.66,3.1769,6
0.0001,0.3,0,4.66,3.1769,6
0.0001,0.3,40,4.66,3.9205,5
0.0005,0.2,20,4.52,11.8384,4
0.0001,0.2,20,4.44,3.5503,7
0.0005,0.3,20,4.37,12.3633,5
0.0001,0.3,20,4.37,3.415,4
0.0001,0.2,40,4.22,3.6618,4
0.001,0.3,20,4.15,30.0469,4
0.001,0.3,40,4.15,10.0805,6
